param_tfhe,operation,temps_s,nb_chiffres,type_donnee,echelle
FheUint16,Chiffrement,0.0008329909999999,1,entier,
FheUint16,Shift,7.232e-06,1,entier,
FheUint16,Addition constante,0.120617264,1,entier,
FheUint16,Multiplication constante,0.042323265,1,entier,
FheUint16,Casting,5.959e-06,1,entier,
FheUint16,ET binaire,1.4736e-05,1,entier,
FheUint16,OU binaire,2.912e-06,1,entier,
FheUint16,NOT,1.1053e-05,1,entier,
FheUint16,Dechiffrement,1.3492e-05,1,entier,
FheUint32,Chiffrement,0.0014369,1,entier,
FheUint32,Shift,1.2704e-05,1,entier,
FheUint32,Addition constante,0.219452607,1,entier,
FheUint32,Multiplication constante,0.072966084,1,entier,
FheUint32,Casting,9.259e-06,1,entier,
FheUint32,ET binaire,2.2758e-05,1,entier,
FheUint32,OU binaire,2.701e-06,1,entier,
FheUint32,NOT,1.7239000000000002e-05,1,entier,
FheUint32,Dechiffrement,2.2702e-05,1,entier,
FheUint64,Chiffrement,0.002907695,1,entier,
FheUint64,Shift,3.2130000000000006e-05,1,entier,
FheUint64,Addition constante,0.4917121969999999,1,entier,
FheUint64,Multiplication constante,0.161336802,1,entier,
FheUint64,Casting,2.8166e-05,1,entier,
FheUint64,ET binaire,5.2438e-05,1,entier,
FheUint64,OU binaire,3.556e-06,1,entier,
FheUint64,NOT,3.8661e-05,1,entier,
FheUint64,Dechiffrement,5.0581e-05,1,entier,
FheUint128,Chiffrement,0.00591526,1,entier,
FheUint128,Shift,9.1697e-05,1,entier,
FheUint128,Addition constante,1.099972889,1,entier,
FheUint128,Multiplication constante,0.355397237,1,entier,
FheUint128,Casting,8.354099999999999e-05,1,entier,
FheUint128,ET binaire,0.000242881,1,entier,
FheUint128,OU binaire,4.972e-06,1,entier,
FheUint128,NOT,0.000111932,1,entier,
FheUint128,Dechiffrement,0.000102801,1,entier,
FheUint256,Chiffrement,0.011529584,1,entier,
FheUint256,Shift,0.000211564,1,entier,
FheUint256,Addition constante,2.193878011,1,entier,
FheUint256,Multiplication constante,0.6830050089999999,1,entier,
FheUint256,Casting,0.0002087829999999,1,entier,
FheUint256,ET binaire,0.000604782,1,entier,
FheUint256,OU binaire,5.32e-06,1,entier,
FheUint256,NOT,0.000253671,1,entier,
FheUint256,Dechiffrement,5.5916e-05,1,entier,
FheUint512,Chiffrement,0.028489648,1,entier,
FheUint512,Shift,0.000740504,1,entier,
FheUint512,Addition constante,5.858141563,1,entier,
FheUint512,Multiplication constante,1.679207772,1,entier,
FheUint512,Casting,0.000586609,1,entier,
FheUint512,ET binaire,0.001864558,1,entier,
FheUint512,OU binaire,1.065e-05,1,entier,
FheUint512,NOT,0.000677793,1,entier,
FheUint512,Dechiffrement,6.6564e-05,1,entier,
FheUint1024,Chiffrement,0.056104658,1,entier,
FheUint1024,Shift,0.003093332,1,entier,
FheUint1024,Addition constante,12.105080288,1,entier,
FheUint1024,Multiplication constante,3.357857584,1,entier,
FheUint1024,Casting,0.001234497,1,entier,
FheUint1024,ET binaire,0.003903601,1,entier,
FheUint1024,OU binaire,1.1394e-05,1,entier,
FheUint1024,NOT,0.00169097,1,entier,
FheUint1024,Dechiffrement,6.611799999999999e-05,1,entier,
FheUint2048,Chiffrement,0.1104195549999999,1,entier,
FheUint2048,Shift,0.006562523,1,entier,
FheUint2048,Addition constante,23.864846124000003,1,entier,
FheUint2048,Multiplication constante,7.578268466,1,entier,
FheUint2048,Casting,0.002413889,1,entier,
FheUint2048,ET binaire,0.010779234,1,entier,
FheUint2048,OU binaire,1.2544e-05,1,entier,
FheUint2048,NOT,0.003998976,1,entier,
FheUint2048,Dechiffrement,9.948e-05,1,entier,
FheUint8,Addition,0.092297693,2,entier,
FheUint8,Soustraction,0.093202893,2,entier,
FheUint8,Multiplication,0.189800295,2,entier,
FheUint8,Division,1.296846253,2,entier,
FheUint8,ET binaire,0.032876169,2,entier,
FheUint8,OU binaire,0.033048385,2,entier,
FheUint8,XOR binaire,0.032189504,2,entier,
FheUint8,Egalite,0.052288028,2,entier,
FheUint8,Inegalite,0.051694383,2,entier,
FheUint8,Superieur,0.050693836,2,entier,
FheUint8,Superieur ou egal,0.050516097,2,entier,
FheUint16,Addition,0.159315901,2,entier,
FheUint16,Soustraction,0.164781039,2,entier,
FheUint16,Multiplication,0.806418305,2,entier,
FheUint16,Division,4.738001629,2,entier,
FheUint16,ET binaire,0.059992443,2,entier,
FheUint16,OU binaire,0.0587970779999999,2,entier,
FheUint16,XOR binaire,0.058519008,2,entier,
FheUint16,Egalite,0.105805724,2,entier,
FheUint16,Inegalite,0.100835244,2,entier,
FheUint16,Superieur,0.098766179,2,entier,
FheUint16,Superieur ou egal,0.098239399,2,entier,
FheUint32,Addition,0.349194552,2,entier,
FheUint32,Soustraction,0.371017134,2,entier,
FheUint32,Multiplication,3.401475257,2,entier,
FheUint32,Division,18.336281913,2,entier,
FheUint32,ET binaire,0.119742028,2,entier,
FheUint32,OU binaire,0.118730902,2,entier,
FheUint32,XOR binaire,0.117874755,2,entier,
FheUint32,Egalite,0.190399072,2,entier,
FheUint32,Inegalite,0.179709295,2,entier,
FheUint32,Superieur,0.2057094549999999,2,entier,
FheUint32,Superieur ou egal,0.201332309,2,entier,
FheUint64,Addition,0.8413218,2,entier,
FheUint64,Soustraction,0.873508673,2,entier,
FheUint64,Multiplication,14.56270346,2,entier,
FheUint64,Division,78.23615906200001,2,entier,
FheUint64,ET binaire,0.2699203979999999,2,entier,
FheUint64,OU binaire,0.271226977,2,entier,
FheUint64,XOR binaire,0.2692482739999999,2,entier,
FheUint64,Egalite,0.402135556,2,entier,
FheUint64,Inegalite,0.385062165,2,entier,
FheUint64,Superieur,0.441766627,2,entier,
FheUint64,Superieur ou egal,0.436257638,2,entier,
FheUint128,Addition,1.64396842,2,entier,
FheUint128,Soustraction,1.668927962,2,entier,
FheUint128,Multiplication,56.621668454,2,entier,
FheUint128,Division,287.619345882,2,entier,
FheUint128,ET binaire,0.499984006,2,entier,
FheUint128,OU binaire,0.499115527,2,entier,
FheUint128,XOR binaire,0.49997837,2,entier,
FheUint128,Egalite,0.6814604550000001,2,entier,
FheUint128,Inegalite,0.65554825,2,entier,
FheUint128,Superieur,1.005764136,2,entier,
FheUint128,Superieur ou egal,1.000023832,2,entier,
FheUint256,Addition,3.567151456,2,entier,
FheUint256,Soustraction,3.521901218,2,entier,
FheUint256,Multiplication,194.023101801,2,entier,
FheUint256,ET binaire,0.8885666959999999,2,entier,
FheUint256,OU binaire,0.885444396,2,entier,
FheUint256,XOR binaire,0.887520996,2,entier,
FheUint256,Egalite,1.168027244,2,entier,
FheUint256,Inegalite,1.150647008,2,entier,
FheUint256,Superieur,1.947630923,2,entier,
FheUint256,Superieur ou egal,1.982936872,2,entier,
FheUint512,Addition,7.784081202999999,2,entier,
FheUint512,Soustraction,7.470255288000001,2,entier,
FheUint512,Multiplication,762.147148907,2,entier,
FheUint512,ET binaire,1.770527361,2,entier,
FheUint512,OU binaire,1.791392894,2,entier,
FheUint512,XOR binaire,1.790479154,2,entier,
FheUint512,Egalite,2.281092306,2,entier,
FheUint512,Inegalite,2.24839477,2,entier,
FheUint512,Superieur,4.357999199,2,entier,
FheUint512,Superieur ou egal,4.34045795,2,entier,
FheUint8,Tri,507.719379917,128,entier,
FheUint16,Tri,837.181609582,128,entier,
FheUint32,Tri,1665.054155996,128,entier,
FheUint16,Tri,11.175285251,8,entier,
FheUint16,Tri,37.140943489,16,entier,
FheUint16,Tri,114.341592514,32,entier,
FheUint16,Tri,311.997227768,64,entier,
FheUint16,Tri,837.181609582,128,entier,
FheUint16,Tri,2143.524898918,256,entier,
FheUint16,Tri,5373.237146841,512,entier,
FheUint16,Tri,12982.072423754,1028,entier,
FheUint16,Tri,31102.769062904,2048,entier,
FheUint64,Programme Addition,1.83756495,2,entier,
FheUint64,Programme Soustraction,1.894289713,2,entier,
FheUint64,Programme Multiplication,14.282273838,2,entier,
FheUint64,Programme Division,72.462064449,2,entier,
Global,Generation cles,0.682,0,entier,
FheInt64,Chiffrement,0.003535171,2,flottant,1000.0
FheInt64,Chiffrement,0.003619915,2,flottant,1000000.0
FheInt64,Generation cles,1.094957687,2,flottant,1000.0
FheInt64,Generation cles,1.08326463,2,flottant,1000000.0
FheInt64,Addition,0.78265927,2,flottant,1000.0
FheInt64,Addition,0.814207712,2,flottant,1000000.0
FheInt64,Soustraction,0.762669487,2,flottant,1000.0
FheInt64,Soustraction,0.801113175,2,flottant,1000000.0
FheInt64,Multiplication,13.031773567,2,flottant,1000.0
FheInt64,Multiplication,14.055032123,2,flottant,1000000.0
FheInt64,Division,74.999825657,2,flottant,1000.0
FheInt64,Division,79.121153683,2,flottant,1000000.0
FheInt64,ET binaire,0.226110589,2,flottant,1000.0
FheInt64,ET binaire,0.241049094,2,flottant,1000000.0
FheInt64,OU binaire,0.2281708549999999,2,flottant,1000.0
FheInt64,OU binaire,0.242838415,2,flottant,1000000.0
FheInt64,XOR binaire,0.226719395,2,flottant,1000.0
FheInt64,XOR binaire,0.241592229,2,flottant,1000000.0
FheInt64,Egalite,0.3496827819999999,2,flottant,1000.0
FheInt64,Egalite,0.370338026,2,flottant,1000000.0
FheInt64,Inegalite,0.349317717,2,flottant,1000.0
FheInt64,Inegalite,0.366521332,2,flottant,1000000.0
FheInt64,Superieur,0.41495611,2,flottant,1000.0
FheInt64,Superieur,0.434053627,2,flottant,1000000.0
FheInt64,Superieur ou egal,0.4119551,2,flottant,1000.0
FheInt64,Superieur ou egal,0.432027594,2,flottant,1000000.0
FheInt64,Dechiffrement,7.1316e-05,2,flottant,1000.0
FheInt64,Dechiffrement,7.187699999999999e-05,2,flottant,1000000.0
FheInt64,Programme Soustraction,1.843317755,2,flottant,1000.0
FheInt64,Programme Soustraction,1.827881076,2,flottant,1000000.0
FheInt64,Programme Soustraction,1.846761044,2,flottant,1000000000.0
FheInt64,Programme Addition,1.881751513,2,flottant,1000.0
FheInt64,Programme Addition,1.878958681,2,flottant,1000000.0
FheInt64,Programme Addition,1.847345224,2,flottant,1000000000.0
FheInt64,Programme Multiplication,14.502131521,2,flottant,1000.0
FheInt64,Programme Multiplication,14.542608163,2,flottant,1000000.0
FheInt64,Programme Multiplication,14.365884401,2,flottant,1000000000.0
FheInt64,Programme Division,76.86248451,2,flottant,1000.0
