*** Avec FheUint512:
Mesures individuelles pour Addition:
Mesure 1: 8.630124533s
Mesure 2: 8.353894007s
Mesure 3: 8.427283282s
Mesure 4: 8.37406023s
Mesure 5: 8.291971334s
Mesure 6: 8.307081778s
Mesure 7: 8.31011672s
Mesure 8: 8.305571008s
Mesure 9: 8.377722042s
Mesure 10: 8.373781964s
Mesure 11: 8.324933866s
Mesure 12: 8.316170637s
Mesure 13: 8.393104933s
Mesure 14: 8.359129248s
Mesure 15: 8.419314859s
Mesure 16: 8.366269654s
Mesure 17: 8.391069956s
Mesure 18: 8.342597799s
Mesure 19: 8.353744328s
Mesure 20: 8.322940845s
Moyenne: 8.367044151s

Mesures individuelles pour Soustraction:
Mesure 1: 8.672097925s
Mesure 2: 8.31572858s
Mesure 3: 8.317066645s
Mesure 4: 8.309642381s
Mesure 5: 8.365696463s
Mesure 6: 8.374952534s
Mesure 7: 8.439819099s
Mesure 8: 8.346533755s
Mesure 9: 8.396607583s
Mesure 10: 8.310068721s
Mesure 11: 8.328538467s
Mesure 12: 8.339979607s
Mesure 13: 8.344586509s
Mesure 14: 8.380651432s
Mesure 15: 8.303130661s
Mesure 16: 8.353444918s
Mesure 17: 8.300854414s
Mesure 18: 8.370793669s
Mesure 19: 8.298530069s
Mesure 20: 8.384838248s
Moyenne: 8.362678084s

Mesures individuelles pour Multiplication:
Mesure 1: 839.706184201s
Mesure 2: 842.064663597s
Mesure 3: 841.543299889s
Mesure 4: 841.22300772s
Mesure 5: 843.601497494s
Mesure 6: 840.768104819s
Mesure 7: 841.40011164s
Mesure 8: 839.391524659s
Mesure 9: 842.15039411s
Mesure 10: 844.069431964s
Mesure 11: 841.244346739s
Mesure 12: 839.052930206s
Mesure 13: 835.560191289s
Mesure 14: 836.424274526s
Mesure 15: 836.59933023s
Mesure 16: 836.259336629s
Mesure 17: 835.252790025s
Mesure 18: 834.637449953s
Mesure 19: 834.46840449s
Mesure 20: 832.33110995s
Moyenne: 838.887419206s

Mesures individuelles pour ET binaire:
Mesure 1: 1.861064673s
Mesure 2: 1.86235453s
Mesure 3: 1.829095663s
Mesure 4: 1.890681871s
Mesure 5: 1.869469099s
Mesure 6: 1.845356815s
Mesure 7: 2.096800467s
Mesure 8: 1.845400802s
Mesure 9: 1.884204004s
Mesure 10: 1.845458147s
Mesure 11: 1.829531376s
Mesure 12: 1.849482408s
Mesure 13: 1.919202185s
Mesure 14: 1.830551906s
Mesure 15: 1.920730869s
Mesure 16: 1.876616559s
Mesure 17: 1.837722276s
Mesure 18: 1.842029616s
Mesure 19: 1.853416746s
Mesure 20: 1.81801121s
Moyenne: 1.870359061s

Mesures individuelles pour OU binaire:
Mesure 1: 1.84417832s
Mesure 2: 1.881648024s
Mesure 3: 1.852851563s
Mesure 4: 1.846276608s
Mesure 5: 1.884372035s
Mesure 6: 1.899692732s
Mesure 7: 1.929912527s
Mesure 8: 1.870278333s
Mesure 9: 1.835912628s
Mesure 10: 1.853132056s
Mesure 11: 1.912826209s
Mesure 12: 1.849916222s
Mesure 13: 2.090027323s
Mesure 14: 1.827288332s
Mesure 15: 1.902660434s
Mesure 16: 1.851716118s
Mesure 17: 1.869619613s
Mesure 18: 1.880161576s
Mesure 19: 1.865052421s
Mesure 20: 1.887454865s
Moyenne: 1.881748896s

Mesures individuelles pour XOR binaire:
Mesure 1: 1.889862079s
Mesure 2: 1.936175264s
Mesure 3: 1.852089985s
Mesure 4: 1.837306197s
Mesure 5: 1.890157763s
Mesure 6: 1.849087827s
Mesure 7: 1.905913s
Mesure 8: 2.147703631s
Mesure 9: 2.006199219s
Mesure 10: 2.14633451s
Mesure 11: 1.857470119s
